minute,pts_in,pts_out
0,1.0,1.0
1,1.0,4.0
2,3.0,5.0
3,4.0,0.0
4,2.0,0.0
5,3.0,0.0
6,3.0,0.0
7,3.0,1.0
8,4.0,2.0
9,3.0,1.0
10,2.0,1.0
11,3.0,1.0
12,1.0,3.0
13,1.0,1.0
14,3.0,1.0
15,2.0,1.0
16,6.0,0.0
17,2.0,0.0
18,2.0,2.0
19,2.0,3.0
20,1.0,2.0
21,1.0,2.0
22,4.0,0.0
23,2.0,0.0
24,1.0,3.0
25,1.0,2.0
26,1.0,1.0
27,3.0,0.0
28,1.0,0.0
29,1.0,0.0
30,2.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,2.0,0.0
40,1.0,0.0
41,1.0,0.0
42,2.0,0.0
43,1.0,1.0
44,0.0,1.0
45,0.0,1.0
46,0.0,1.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,1.0,0.0
57,1.0,0.0
58,0.0,0.0
59,1.0,0.0
60,1.0,0.0
61,0.0,0.0
62,1.0,1.0
63,0.0,2.0
64,0.0,1.0
65,1.0,0.0
66,1.0,0.0
67,2.0,0.0
68,2.0,0.0
69,2.0,0.0
70,3.0,1.0
71,3.0,0.0
72,1.0,2.0
73,0.0,3.0
74,0.0,2.0
75,0.0,1.0
76,0.0,1.0
77,0.0,2.0
78,0.0,0.0
79,0.0,1.0
80,0.0,1.0
81,0.0,1.0
82,1.0,1.0
83,1.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,1.0
87,0.0,1.0
88,0.0,0.0
89,0.0,1.0
90,0.0,1.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,2.0
96,1.0,0.0
97,0.0,1.0
98,0.0,2.0
99,0.0,1.0
100,0.0,3.0
101,1.0,0.0
102,1.0,0.0
103,1.0,0.0
104,2.0,0.0
105,1.0,0.0
106,2.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,1.0
114,0.0,0.0
115,0.0,0.0
116,0.0,1.0
117,0.0,1.0
118,0.0,1.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,1.0,0.0
130,0.0,1.0
131,0.0,1.0
132,0.0,1.0
133,0.0,1.0
134,0.0,1.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,1.0,0.0
176,1.0,0.0
177,2.0,0.0
178,0.0,0.0
179,2.0,0.0
180,0.0,1.0
181,0.0,1.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,1.0,0.0
207,1.0,0.0
208,1.0,0.0
209,1.0,0.0
210,1.0,0.0
211,1.0,0.0
212,1.0,0.0
213,0.0,2.0
214,1.0,0.0
215,2.0,0.0
216,1.0,0.0
217,2.0,0.0
218,1.0,0.0
219,1.0,0.0
220,1.0,0.0
221,2.0,0.0
222,1.0,0.0
223,2.0,0.0
224,1.0,0.0
225,1.0,0.0
226,1.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,1.0
245,1.0,0.0
246,2.0,0.0
247,2.0,0.0
248,1.0,0.0
249,1.0,0.0
250,1.0,0.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,2.0,0.0
269,1.0,0.0
270,0.0,1.0
271,1.0,0.0
272,1.0,1.0
273,2.0,0.0
274,1.0,0.0
275,2.0,0.0
276,1.0,0.0
277,0.0,1.0
278,0.0,0.0
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,1.0
283,0.0,1.0
284,0.0,1.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,1.0
293,0.0,1.0
294,0.0,0.0
295,0.0,2.0
296,0.0,1.0
297,0.0,2.0
298,0.0,0.0
299,2.0,0.0
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,2.0,0.0
316,2.0,0.0
317,1.0,0.0
318,1.0,0.0
319,2.0,0.0
320,1.0,1.0
321,2.0,1.0
322,2.0,2.0
323,2.0,0.0
324,2.0,0.0
325,1.0,0.0
326,2.0,0.0
327,2.0,0.0
328,2.0,0.0
329,1.0,0.0
330,2.0,0.0
331,2.0,0.0
332,1.0,1.0
333,1.0,1.0
334,2.0,0.0
335,2.0,0.0
336,1.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,1.0
343,2.0,4.0
344,3.0,2.0
345,1.0,0.0
346,2.0,2.0
347,2.0,1.0
348,2.0,1.0
349,3.0,1.0
350,4.0,1.0
351,4.0,2.0
352,1.0,2.0
353,2.0,0.0
354,1.0,0.0
355,1.0,0.0
356,0.0,0.0
357,2.0,1.0
358,1.0,0.0
359,1.0,0.0
360,0.0,2.0
361,3.0,2.0
362,3.0,1.0
363,2.0,1.0
364,1.0,3.0
365,2.0,1.0
366,0.0,2.0
367,1.0,1.0
368,0.0,4.0
369,0.0,4.0
370,1.0,4.0
371,3.0,3.0
372,0.0,5.0
373,0.0,3.0
374,1.0,4.0
375,2.0,1.0
376,5.0,2.0
377,4.0,2.0
378,5.0,4.0
379,5.0,3.0
380,1.0,4.0
381,1.0,4.0
382,1.0,4.0
383,5.0,4.0
384,6.0,3.0
385,4.0,6.0
386,6.0,6.0
387,5.0,5.0
388,5.0,4.0
389,2.0,5.0
390,4.0,4.0
391,4.0,5.0
392,1.0,7.0
393,3.0,2.0
394,2.0,3.0
395,0.0,5.0
396,1.0,2.0
397,0.0,2.0
398,0.0,3.0
399,0.0,3.0
400,0.0,3.0
401,0.0,2.0
402,0.0,3.0
403,0.0,4.0
404,2.0,4.0
405,2.0,3.0
406,0.0,4.0
407,0.0,3.0
408,2.0,1.0
409,0.0,4.0
410,2.0,3.0
411,3.0,4.0
412,2.0,3.0
413,0.0,6.0
414,2.0,2.0
415,1.0,2.0
416,2.0,2.0
417,0.0,4.0
418,0.0,7.0
419,2.0,5.0
420,4.0,4.0
421,2.0,3.0
422,2.0,2.0
423,5.0,5.0
424,9.0,5.0
425,5.0,1.0
426,5.0,3.0
427,3.0,2.0
428,0.0,1.0
429,0.0,0.0
430,0.0,3.0
431,0.0,3.0
432,4.0,2.0
433,4.0,3.0
434,3.0,5.0
435,5.0,7.0
436,4.0,4.0
437,5.0,3.0
438,7.0,4.0
439,7.0,1.0
440,5.0,7.0
441,7.0,6.0
442,4.0,6.0
443,6.0,7.0
444,9.0,5.0
445,7.0,5.0
446,7.0,6.0
447,9.0,4.0
448,5.0,6.0
449,7.0,8.0
450,7.0,9.0
451,7.0,5.0
452,9.0,6.0
453,6.0,4.0
454,10.0,2.0
455,7.0,2.0
456,6.0,5.0
457,9.0,5.0
458,13.0,2.0
459,8.0,3.0
460,9.0,4.0
461,6.0,4.0
462,8.0,8.0
463,4.0,7.0
464,3.0,9.0
465,8.0,8.0
466,8.0,13.0
467,10.0,11.0
468,7.0,10.0
469,6.0,11.0
470,3.0,8.0
471,6.0,7.0
472,6.0,8.0
473,9.0,7.0
474,10.0,7.0
475,6.0,8.0
476,6.0,2.0
477,9.0,5.0
478,12.0,1.0
479,12.0,3.0
480,6.0,6.0
481,10.0,9.0
482,6.0,7.0
483,9.0,11.0
484,11.0,5.0
485,7.0,6.0
486,10.0,9.0
487,14.0,6.0
488,9.0,4.0
489,5.0,4.0
490,6.0,3.0
491,11.0,5.0
492,9.0,8.0
493,14.0,7.0
494,15.0,4.0
495,5.0,12.0
496,11.0,10.0
497,8.0,11.0
498,16.0,9.0
499,11.0,12.0
500,6.0,12.0
501,6.0,9.0
502,12.0,8.0
503,13.0,6.0
504,8.0,10.0
505,9.0,9.0
506,7.0,15.0
507,11.0,11.0
508,15.0,8.0
509,19.0,7.0
510,18.0,5.0
511,26.0,8.0
512,19.0,9.0
513,19.0,6.0
514,17.0,6.0
515,20.0,12.0
516,18.0,11.0
517,17.0,18.0
518,18.0,13.0
519,23.0,10.0
520,26.0,16.0
521,13.0,19.0
522,25.0,15.0
523,19.0,11.0
524,18.0,15.0
525,18.0,13.0
526,18.0,11.0
527,23.0,15.0
528,21.0,13.0
529,25.0,7.0
530,24.0,7.0
531,20.0,12.0
532,27.0,13.0
533,18.0,10.0
534,19.0,13.0
535,22.0,5.0
536,18.0,8.0
537,19.0,3.0
538,21.0,9.0
539,23.0,29.0
540,23.0,10.0
541,23.0,16.0
542,23.0,7.0
543,24.0,15.0
544,19.0,18.0
545,24.0,23.0
546,19.0,20.0
547,25.0,17.0
548,30.0,20.0
549,44.0,62.0
550,35.0,32.0
551,24.0,17.0
552,22.0,36.0
553,21.0,44.0
554,21.0,22.0
555,25.0,27.0
556,30.0,19.0
557,21.0,33.0
558,28.0,24.0
559,86.0,24.0
560,41.0,28.0
561,26.0,21.0
562,22.0,48.0
563,29.0,38.0
564,29.0,24.0
565,32.0,27.0
566,36.0,23.0
567,40.0,26.0
568,36.0,12.0
569,29.0,13.0
570,32.0,25.0
571,32.0,16.0
572,34.0,17.0
573,37.0,21.0
574,35.0,18.0
575,34.0,11.0
576,45.0,11.0
577,43.0,12.0
578,34.0,12.0
579,25.0,21.0
580,29.0,15.0
581,31.0,10.0
582,22.0,5.0
583,21.0,9.0
584,35.0,12.0
585,30.0,10.0
586,29.0,13.0
587,31.0,16.0
588,26.0,14.0
589,22.0,16.0
590,28.0,12.0
591,32.0,11.0
592,35.0,12.0
593,35.0,8.0
594,37.0,14.0
595,28.0,10.0
596,29.0,14.0
597,32.0,19.0
598,31.0,21.0
599,31.0,16.0
600,43.0,11.0
601,42.0,15.0
602,32.0,23.0
603,41.0,15.0
604,43.0,12.0
605,34.0,9.0
606,33.0,11.0
607,33.0,11.0
608,36.0,15.0
609,34.0,10.0
610,25.0,18.0
611,29.0,22.0
612,23.0,23.0
613,24.0,27.0
614,27.0,27.0
615,25.0,29.0
616,30.0,21.0
617,33.0,20.0
618,23.0,21.0
619,23.0,23.0
620,22.0,20.0
621,16.0,18.0
622,20.0,26.0
623,32.0,20.0
624,25.0,19.0
625,26.0,19.0
626,32.0,14.0
627,27.0,13.0
628,26.0,18.0
629,20.0,19.0
630,23.0,29.0
631,29.0,18.0
632,18.0,18.0
633,27.0,15.0
634,28.0,11.0
635,29.0,19.0
636,23.0,12.0
637,20.0,17.0
638,25.0,17.0
639,22.0,14.0
640,22.0,16.0
641,26.0,25.0
642,21.0,17.0
643,29.0,29.0
644,26.0,14.0
645,25.0,23.0
646,25.0,21.0
647,27.0,20.0
648,30.0,12.0
649,22.0,18.0
650,23.0,18.0
651,22.0,20.0
652,26.0,27.0
653,26.0,14.0
654,29.0,8.0
655,21.0,15.0
656,20.0,14.0
657,25.0,16.0
658,27.0,17.0
659,28.0,17.0
660,23.0,15.0
661,31.0,10.0
662,30.0,8.0
663,28.0,9.0
664,29.0,9.0
665,22.0,12.0
666,29.0,6.0
667,24.0,17.0
668,23.0,7.0
669,20.0,6.0
670,23.0,7.0
671,21.0,8.0
672,21.0,6.0
673,17.0,8.0
674,14.0,7.0
675,20.0,8.0
676,14.0,7.0
677,18.0,6.0
678,13.0,11.0
679,10.0,13.0
680,19.0,15.0
681,9.0,19.0
682,13.0,16.0
683,15.0,12.0
684,20.0,13.0
685,17.0,15.0
686,11.0,17.0
687,14.0,15.0
688,13.0,13.0
689,14.0,14.0
690,19.0,15.0
691,16.0,21.0
692,17.0,16.0
693,22.0,11.0
694,28.0,9.0
695,28.0,14.0
696,29.0,20.0
697,22.0,18.0
698,24.0,12.0
699,21.0,15.0
700,16.0,21.0
701,15.0,26.0
702,24.0,16.0
703,21.0,19.0
704,18.0,11.0
705,25.0,20.0
706,22.0,16.0
707,24.0,14.0
708,22.0,16.0
709,17.0,14.0
710,16.0,17.0
711,22.0,13.0
712,21.0,11.0
713,23.0,6.0
714,24.0,13.0
715,23.0,10.0
716,28.0,11.0
717,20.0,9.0
718,21.0,6.0
719,24.0,11.0
720,26.0,7.0
721,25.0,10.0
722,17.0,18.0
723,25.0,11.0
724,19.0,19.0
725,17.0,12.0
726,21.0,18.0
727,20.0,10.0
728,25.0,9.0
729,25.0,7.0
730,24.0,10.0
731,23.0,13.0
732,15.0,18.0
733,20.0,12.0
734,18.0,7.0
735,16.0,8.0
736,19.0,7.0
737,23.0,12.0
738,17.0,7.0
739,21.0,6.0
740,23.0,7.0
741,26.0,11.0
742,14.0,15.0
743,19.0,11.0
744,23.0,7.0
745,25.0,7.0
746,24.0,7.0
747,17.0,13.0
748,21.0,10.0
749,20.0,8.0
750,23.0,10.0
751,24.0,17.0
752,26.0,18.0
753,24.0,13.0
754,19.0,13.0
755,22.0,14.0
756,23.0,13.0
757,17.0,14.0
758,23.0,9.0
759,28.0,11.0
760,26.0,14.0
761,17.0,19.0
762,29.0,12.0
